Token,Gold,Predicted,Correct,Tagger
Al,NNP,NNP,True,Stanza
-,HYPH,HYPH,True,Stanza
Zaman,NNP,NNP,True,Stanza
:,:,:,True,Stanza
American,JJ,JJ,True,Stanza
forces,NNS,NNS,True,Stanza
killed,VBD,VBD,True,Stanza
Shaikh,NNP,NNP,True,Stanza
Abdullah,NNP,NNP,True,Stanza
al,NNP,NNP,True,Stanza
-,HYPH,HYPH,True,Stanza
Ani,NNP,NNP,True,Stanza
",",",",",",True,Stanza
the,DT,DT,True,Stanza
preacher,NN,NN,True,Stanza
at,IN,IN,True,Stanza
the,DT,DT,True,Stanza
mosque,NN,NN,True,Stanza
in,IN,IN,True,Stanza
the,DT,DT,True,Stanza
town,NN,NN,True,Stanza
of,IN,IN,True,Stanza
Qaim,NNP,NNP,True,Stanza
",",",",",",True,Stanza
near,IN,IN,True,Stanza
the,DT,DT,True,Stanza
Syrian,JJ,JJ,True,Stanza
border,NN,NN,True,Stanza
.,.,.,True,Stanza
[,-LRB-,-LRB-,True,Stanza
This,DT,DT,True,Stanza
killing,NN,NN,True,Stanza
of,IN,IN,True,Stanza
a,DT,DT,True,Stanza
respected,JJ,VBN,False,Stanza
cleric,NN,NN,True,Stanza
will,MD,MD,True,Stanza
be,VB,VB,True,Stanza
causing,VBG,VBG,True,Stanza
us,PRP,PRP,True,Stanza
trouble,NN,NN,True,Stanza
for,IN,IN,True,Stanza
years,NNS,NNS,True,Stanza
to,TO,TO,True,Stanza
come,VB,VB,True,Stanza
.,.,.,True,Stanza
],-RRB-,-RRB-,True,Stanza
DPA,NNP,NNP,True,Stanza
:,:,:,True,Stanza
Iraqi,JJ,JJ,True,Stanza
authorities,NNS,NNS,True,Stanza
announced,VBD,VBD,True,Stanza
that,IN,IN,True,Stanza
they,PRP,PRP,True,Stanza
had,VBD,VBD,True,Stanza
busted,VBN,VBN,True,Stanza
up,RP,RP,True,Stanza
3,CD,CD,True,Stanza
terrorist,JJ,JJ,True,Stanza
cells,NNS,NNS,True,Stanza
operating,VBG,VBG,True,Stanza
in,IN,IN,True,Stanza
Baghdad,NNP,NNP,True,Stanza
.,.,.,True,Stanza
Two,CD,CD,True,Stanza
of,IN,IN,True,Stanza
them,PRP,PRP,True,Stanza
were,VBD,VBD,True,Stanza
being,VBG,VBG,True,Stanza
run,VBN,VBN,True,Stanza
by,IN,IN,True,Stanza
2,CD,CD,True,Stanza
officials,NNS,NNS,True,Stanza
of,IN,IN,True,Stanza
the,DT,DT,True,Stanza
Ministry,NNP,NNP,True,Stanza
of,IN,IN,True,Stanza
the,DT,DT,True,Stanza
Interior,NNP,NNP,True,Stanza
!,.,.,True,Stanza
The,DT,DT,True,Stanza
MoI,NNP,NNP,True,Stanza
in,IN,IN,True,Stanza
Iraq,NNP,NNP,True,Stanza
is,VBZ,VBZ,True,Stanza
equivalent,JJ,JJ,True,Stanza
to,IN,IN,True,Stanza
the,DT,DT,True,Stanza
US,NNP,NNP,True,Stanza
FBI,NNP,NNP,True,Stanza
",",",",",",True,Stanza
so,RB,RB,True,Stanza
this,DT,DT,True,Stanza
would,MD,MD,True,Stanza
be,VB,VB,True,Stanza
like,IN,IN,True,Stanza
having,VBG,VBG,True,Stanza
J.,NNP,NNP,True,Stanza
Edgar,NNP,NNP,True,Stanza
Hoover,NNP,NNP,True,Stanza
unwittingly,RB,RB,True,Stanza
